GISJOIN,Date of Post,Date of Incident,Time of Post,Time of Incident,Area,Abscissa (x),Ordinate (y),Khodor,Ahmad,GS,Folder Source,URL Source,,Platform,Format
,,,,,,,,,,,,,,,
1,2023-10-10,2023-10-10,18:57:00,18:57:00,El Merri,,,Yes,,,20231010_1857_WarMonitors,https://twitter.com/WarMonitors/status/1711772909906129044,Live,Twitter,mp4
1,2023-10-10,2023-10-10,18:57:00,18:57:00,El Merri,,,Yes,,,20231010_1857_WarMonitors,https://twitter.com/WarMonitors/status/1711772909906129044,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,21:30:00,21:30:00,Dhaira,,,Yes,,,20231010_2130_aljazeera,https://www.aljazeera.net/news/2023/10/10/عاجل-مراسل-الجزيرة-إطلاق-صواريخ-من,Live,Al-Jazeera,mp4
,2023-10-10,2023-10-10,21:30:00,21:30:00,Dhaira,,,Yes,,,20231010_2130_aljazeera,https://www.aljazeera.net/news/2023/10/10/عاجل-مراسل-الجزيرة-إطلاق-صواريخ-من,Live,Al-Jazeera,mp4
,2023-10-13,2023-10-13,21:44:00,18:17:00,Ramiye,,,Yes,,,20231013_2144_fouadkhreiss,https://twitter.com/fouadkhreiss/status/1712902186143748568,Live,Twitter,mp4
,2023-10-15,2023-10-15,20:23:00,20:23:00,El Boustane,,,Yes,,,20231015_2023_hmalla72,https://twitter.com/hmalla72/status/1713606650555420987,Live,Twitter,mp4
,2023-10-15,2023-10-15,20:23:00,20:23:00,El Boustane,,,Yes,,,20231015_2023_hmalla72,https://twitter.com/hmalla72/status/1713606650555420987,Live,Twitter,mp4
